trial,experiment,diff_bits,total_bits,diff_bytes,total_bytes,diff_sum_bytes,bit_avalanche_percent,bit_npcr_percent,byte_npcr_percent,byte_uaci_percent,key_a,key_b,key_diff_bit_percent
18,Key_Sensitivity,248,512,,,,,,,,DoctorSecretPass_17_KeyA,DoctorSecretPass_17_Key@,48.4375
19,Key_Sensitivity,260,512,,,,,,,,DoctorSecretPass_18_KeyA,DoctorSecretPass_18_Key@,50.78125
20,Key_Sensitivity,250,512,,,,,,,,DoctorSecretPass_19_KeyA,DoctorSecretPass_19_Key@,48.828125
21,Key_Sensitivity,250,512,,,,,,,,DoctorSecretPass_20_KeyA,DoctorSecretPass_20_Key@,48.828125
22,Key_Sensitivity,250,512,,,,,,,,DoctorSecretPass_21_KeyA,DoctorSecretPass_21_Key@,48.828125
23,Key_Sensitivity,248,512,,,,,,,,DoctorSecretPass_22_KeyA,DoctorSecretPass_22_Key@,48.4375
24,Key_Sensitivity,270,512,,,,,,,,DoctorSecretPass_23_KeyA,DoctorSecretPass_23_Key@,52.734375
25,Key_Sensitivity,258,512,,,,,,,,DoctorSecretPass_24_KeyA,DoctorSecretPass_24_Key@,50.390625
26,Key_Sensitivity,258,512,,,,,,,,DoctorSecretPass_25_KeyA,DoctorSecretPass_25_Key@,50.390625
27,Key_Sensitivity,268,512,,,,,,,,DoctorSecretPass_26_KeyA,DoctorSecretPass_26_Key@,52.34375
28,Key_Sensitivity,264,512,,,,,,,,DoctorSecretPass_27_KeyA,DoctorSecretPass_27_Key@,51.5625
29,Key_Sensitivity,290,512,,,,,,,,DoctorSecretPass_28_KeyA,DoctorSecretPass_28_Key@,56.640625
30,Key_Sensitivity,248,512,,,,,,,,DoctorSecretPass_29_KeyA,DoctorSecretPass_29_Key@,48.4375
31,Key_Sensitivity,250,512,,,,,,,,DoctorSecretPass_30_KeyA,DoctorSecretPass_30_Key@,48.828125
32,Key_Sensitivity,250,512,,,,,,,,DoctorSecretPass_31_KeyA,DoctorSecretPass_31_Key@,48.828125
33,Key_Sensitivity,282,512,,,,,,,,DoctorSecretPass_32_KeyA,DoctorSecretPass_32_Key@,55.078125
34,Key_Sensitivity,234,512,,,,,,,,DoctorSecretPass_33_KeyA,DoctorSecretPass_33_Key@,45.703125
35,Key_Sensitivity,270,512,,,,,,,,DoctorSecretPass_34_KeyA,DoctorSecretPass_34_Key@,52.734375
36,Key_Sensitivity,246,512,,,,,,,,DoctorSecretPass_35_KeyA,DoctorSecretPass_35_Key@,48.046875
37,Key_Sensitivity,284,512,,,,,,,,DoctorSecretPass_36_KeyA,DoctorSecretPass_36_Key@,55.46875
38,Key_Sensitivity,248,512,,,,,,,,DoctorSecretPass_37_KeyA,DoctorSecretPass_37_Key@,48.4375
39,Key_Sensitivity,268,512,,,,,,,,DoctorSecretPass_38_KeyA,DoctorSecretPass_38_Key@,52.34375
40,Key_Sensitivity,248,512,,,,,,,,DoctorSecretPass_39_KeyA,DoctorSecretPass_39_Key@,48.4375
41,Key_Sensitivity,268,512,,,,,,,,DoctorSecretPass_40_KeyA,DoctorSecretPass_40_Key@,52.34375
42,Key_Sensitivity,250,512,,,,,,,,DoctorSecretPass_41_KeyA,DoctorSecretPass_41_Key@,48.828125
43,Key_Sensitivity,236,512,,,,,,,,DoctorSecretPass_42_KeyA,DoctorSecretPass_42_Key@,46.09375
44,Key_Sensitivity,234,512,,,,,,,,DoctorSecretPass_43_KeyA,DoctorSecretPass_43_Key@,45.703125
45,Key_Sensitivity,260,512,,,,,,,,DoctorSecretPass_44_KeyA,DoctorSecretPass_44_Key@,50.78125
46,Key_Sensitivity,278,512,,,,,,,,DoctorSecretPass_45_KeyA,DoctorSecretPass_45_Key@,54.296875
47,Key_Sensitivity,276,512,,,,,,,,DoctorSecretPass_46_KeyA,DoctorSecretPass_46_Key@,53.90625
48,Key_Sensitivity,270,512,,,,,,,,DoctorSecretPass_47_KeyA,DoctorSecretPass_47_Key@,52.734375
49,Key_Sensitivity,266,512,,,,,,,,DoctorSecretPass_48_KeyA,DoctorSecretPass_48_Key@,51.953125
50,Key_Sensitivity,298,512,,,,,,,,DoctorSecretPass_49_KeyA,DoctorSecretPass_49_Key@,58.203125
